Heliostat No. 9240: x=-422.464529m | y=-331.313759m
Heliostat No. 9300: x=142.677226m | y=-534.764299m
Heliostat No. 9360: x=578.059351m | y=-120.977238m
Heliostat No. 9420: x=417.489264m | y=456.093004m
Heliostat No. 9480: x=-173.247377m | y=573.258130m
Heliostat No. 9540: x=-552.433137m | y=105.373952m
Heliostat No. 9600: x=-315.436780m | y=-448.277719m
Heliostat No. 9660: x=284.841562m | y=-496.892099m
Heliostat No. 9720: x=607.841525m | y=11.407487m
Heliostat No. 9780: x=321.347625m | y=539.795188m
Heliostat No. 9840: x=-282.383861m | y=533.282561m
Heliostat No. 9900: x=-568.540310m | y=1.635490m
Heliostat No. 9960: x=-241.477883m | y=-505.872431m
Heliostat No. 10020: x=360.897383m | y=-464.907081m
Heliostat No. 10080: x=626.683081m | y=88.265081m
Heliostat No. 10140: x=270.819388m | y=577.809034m
Heliostat No. 10200: x=-331.043176m | y=514.140324m
Heliostat No. 10260: x=-576.602602m | y=-39.025852m
Heliostat No. 10320: x=-220.120170m | y=-528.119428m
Heliostat No. 10380: x=381.661404m | y=-463.689721m
Heliostat No. 10440: x=636.560911m | y=98.819046m
Heliostat No. 10500: x=276.759831m | y=587.203688m
Heliostat No. 10560: x=-327.184629m | y=530.392904m
Heliostat No. 10620: x=-589.599047m | y=-16.521211m
Heliostat No. 10680: x=-256.007789m | y=-523.170250m
Heliostat No. 10740: x=350.089973m | y=-498.232749m
Heliostat No. 10800: x=651.910769m | y=35.577719m
Heliostat No. 10860: x=348.252976m | y=562.249024m
Heliostat No. 10920: x=-259.303282m | y=583.838656m
Heliostat No. 10980: x=-599.578687m | y=80.049646m
Heliostat No. 11040: x=-352.671550m | y=-475.492957m
Heliostat No. 11100: x=249.294358m | y=-560.509215m
Heliostat No. 11160: x=640.395352m | y=-95.073150m
Heliostat No. 11220: x=463.525017m | y=488.400269m
Heliostat No. 11280: x=-125.197611m | y=645.068285m
Heliostat No. 11340: x=-576.971356m | y=236.363399m
Heliostat No. 11400: x=-479.872823m | y=-365.060806m
Heliostat No. 11460: x=77.564385m | y=-610.830941m
Heliostat No. 11520: x=587.073842m | y=-276.855920m
Heliostat No. 11580: x=592.694493m | y=339.521800m
Heliostat No. 11640: x=80.507998m | y=671.621885m
Heliostat No. 11700: x=-480.784966m | y=431.672556m
Heliostat No. 11760: x=-594.623243m | y=-168.049311m
Heliostat No. 11820: x=-160.297097m | y=-596.985519m
Heliostat No. 11880: x=437.956529m | y=-475.667460m
Heliostat No. 11940: x=680.834598m | y=99.033639m
Heliostat No. 12000: x=338.453470m | y=605.815739m
Heliostat No. 12060: x=-273.092466m | y=613.847079m
Heliostat No. 12120: x=-628.664202m | y=116.231088m
Heliostat No. 12180: x=-422.929666m | y=-459.725711m
Heliostat No. 12240: x=167.445378m | y=-619.444966m
Heliostat No. 12300: x=635.501525m | y=-225.774575m
Heliostat No. 12360: x=590.289831m | y=386.508516m
Heliostat No. 12420: x=60.918194m | y=695.037972m
Heliostat No. 12480: x=-498.403134m | y=444.869216m
Heliostat No. 12540: x=-621.294877m | y=-155.399369m
Heliostat No. 12600: x=-205.286128m | y=-605.245428m
Heliostat No. 12660: x=402.742257m | y=-529.573519m
Heliostat No. 12720: x=695.797563m | y=8.518799m
Heliostat No. 12780: x=439.273644m | y=566.757647m
Heliostat No. 12840: x=-163.925989m | y=680.309828m
Heliostat No. 12900: x=-614.098229m | y=263.070270m
Heliostat No. 12960: x=-546.609897m | y=-347.002856m
Heliostat No. 13020: x=-16.125593m | y=-655.758904m
Heliostat No. 13080: x=547.669863m | y=-413.109820m
Heliostat No. 13140: x=697.284091m | y=193.175804m
Heliostat No. 13200: x=298.978861m | y=661.541109m
Heliostat No. 13260: x=-314.980337m | y=628.872810m
Heliostat No. 13320: x=-661.334551m | y=120.884745m
Heliostat No. 13380: x=-467.461795m | y=-462.576025m
Heliostat No. 13440: x=114.036999m | y=-662.256439m
Heliostat No. 13500: x=625.453079m | y=-320.984248m
Heliostat No. 13560: x=675.513745m | y=294.161416m
Heliostat No. 13620: x=214.900536m | y=702.903965m
Heliostat No. 13680: x=-391.020592m | y=592.928576m
Heliostat No. 13740: x=-678.611462m | y=48.386116m
Heliostat No. 13800: x=-427.813554m | y=-514.050911m
Heliostat No. 13860: x=169.467817m | y=-664.017453m
Heliostat No. 13920: x=656.205435m | y=-286.762247m
Heliostat No. 13980: x=670.075196m | y=333.387729m
Heliostat No. 14040: x=190.062829m | y=720.686181m
Heliostat No. 14100: x=-412.775838m | y=590.311697m
Heliostat No. 14160: x=-689.857419m | y=39.278339m
Heliostat No. 14220: x=-435.000391m | y=-522.379796m
Heliostat No. 14280: x=162.151424m | y=-676.722514m
Heliostat No. 14340: x=657.246331m | y=-308.900550m
Heliostat No. 14400: x=690.795032m | y=314.470163m
Heliostat No. 14460: x=226.923435m | y=722.354233m
Heliostat No. 14520: x=-383.118987m | y=625.428924m
Heliostat No. 14580: x=-697.727206m | y=93.857723m
Heliostat No. 14640: x=-489.158745m | y=-487.559055m
Heliostat No. 14700: x=91.605287m | y=-697.938266m
Heliostat No. 14760: x=624.154262m | y=-384.988012m
Heliostat No. 14820: x=731.496191m | y=234.838347m
Heliostat No. 14880: x=322.785283m | y=699.160905m
Heliostat No. 14940: x=-295.703014m | y=688.565051m
Heliostat No. 15000: x=-688.269331m | y=210.515125m
Heliostat No. 15060: x=-578.366971m | y=-398.222517m
Heliostat No. 15120: x=-43.417591m | y=-708.817439m
Heliostat No. 15180: x=539.729146m | y=-502.468394m
Heliostat No. 15240: x=771.107418m | y=78.176322m
Heliostat No. 15300: x=475.191595m | y=622.353771m
